Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdminLoginTestSuite,Firefox 60.0,,2018-05-10 21:43:06,2018-05-10 21:43:21,14.698s,PASSED
,,,,,,
Test Cases/AdminLoginTest,Firefox 60.0,,2018-05-10 21:43:06,2018-05-10 21:43:21,14.336s,PASSED
openBrowser,Firefox 60.0,,2018-05-10 21:43:07,2018-05-10 21:43:10,3.613s,PASSED
navigateToUrl,Firefox 60.0,,2018-05-10 21:43:10,2018-05-10 21:43:18,8.192s,PASSED
setText,Firefox 60.0,,2018-05-10 21:43:18,2018-05-10 21:43:19,0.136s,PASSED
setText,Firefox 60.0,,2018-05-10 21:43:19,2018-05-10 21:43:19,0.070s,PASSED
click,Firefox 60.0,,2018-05-10 21:43:19,2018-05-10 21:43:19,0.264s,PASSED
click,Firefox 60.0,,2018-05-10 21:43:19,2018-05-10 21:43:20,1.262s,PASSED
click,Firefox 60.0,,2018-05-10 21:43:20,2018-05-10 21:43:21,0.272s,PASSED
closeBrowser,Firefox 60.0,,2018-05-10 21:43:21,2018-05-10 21:43:21,0.225s,PASSED
